what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.adobe.flexide.editorcore,4.5.1.313231,"com.adobe.flexide.editorcore",1410343591896
stopped,bundle,com.adobe.flexbuilder.mxmlmodel,4.5.1.313231,"com.adobe.flexbuilder.mxmlmodel",1410343591896
stopped,bundle,com.adobe.flexide.multiplatform.android,4.5.1.313231,"com.adobe.flexide.multiplatform.android",1410343591896
stopped,bundle,com.qnx.flexide.multiplatform.qnx,1.0.1.201104252316,"com.qnx.flexide.multiplatform.qnx",1410343591896
stopped,bundle,com.adobe.flexide.launching.multiplatform,4.5.1.313231,"com.adobe.flexide.launching.multiplatform",1410343591896
stopped,bundle,com.adobe.flexide.launching,4.5.1.313231,"com.adobe.flexide.launching",1410343591896
stopped,bundle,com.adobe.flexbuilder.codemodel,4.5.1.313231,"com.adobe.flexbuilder.codemodel",1410343591896
stopped,bundle,com.adobe.flash.codemodel.core,4.5.1.313231,"com.adobe.flash.codemodel.core",1410343591896
stopped,bundle,com.adobe.flash.codemodel.osgi,4.5.1.313231,"com.adobe.flash.codemodel.osgi",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.geronimo1,9.0.0.me201105051700,"com.genuitec.eclipse.easie.geronimo1",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.geronimo2,9.0.0.me201105301859,"com.genuitec.eclipse.easie.geronimo2",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.jboss2,9.0.0.me201105051700,"com.genuitec.eclipse.easie.jboss2",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.jboss3,9.0.0.me201105051700,"com.genuitec.eclipse.easie.jboss3",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.jboss4,9.0.0.me201105051700,"com.genuitec.eclipse.easie.jboss4",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.jboss5,9.0.0.me201105051700,"com.genuitec.eclipse.easie.jboss5",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.jboss6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.jboss6",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.jboss,9.0.0.me201105051700,"com.genuitec.eclipse.easie.jboss",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.sunglassfish,9.0.0.me201105051700,"com.genuitec.eclipse.easie.sunglassfish",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.sunglassfish2,9.0.0.me201105051700,"com.genuitec.eclipse.easie.sunglassfish2",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.sunglassfishv3final,9.0.0.me201106191713,"com.genuitec.eclipse.easie.sunglassfishv3final",1410343591896
stopped,bundle,com.genuitec.eclipse.easie.sunglassfish3,9.0.0.me201105051700,"com.genuitec.eclipse.easie.sunglassfish3",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.sun,9.0.0.me201105051700,"com.genuitec.eclipse.easie.sun",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tcserver6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tcserver6",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tcserver,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tcserver",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tomcat.myeclipse,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat.myeclipse",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tomcat4,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat4",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tomcat5,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat5",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tomcat6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat6",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tomcat7,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat7",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.tomcat,9.0.0.me201105051700,"com.genuitec.eclipse.easie.tomcat",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.weblogic10,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic10",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.weblogic6,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic6",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.weblogic7,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic7",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.weblogic8,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic8",1410343591897
stopped,bundle,com.genuitec.eclipse.easie.weblogic9,9.0.0.me201105051700,"com.genuitec.eclipse.easie.weblogic9",1410343591897
