what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.pulse2.client.common.provisioning,4.0.0.v201105241300,"com.genuitec.pulse2.client.common.provisioning",1410340822829
started,bundle,com.genuitec.pulse2.client.installer.common,4.0.0.v201106171500,"com.genuitec.pulse2.client.installer.common",1410340822829
started,bundle,com.genuitec.pulse2.client.installer.ui,4.0.0.v201105241300,"com.genuitec.pulse2.client.installer.ui",1410340822829
started,bundle,com.genuitec.pulse2.client.launcher.ui,4.0.0.v201105241300,"com.genuitec.pulse2.client.launcher.ui",1410340822829
started,bundle,com.genuitec.pulse2.client.properties,3.2.0.v201103141500,"com.genuitec.pulse2.client.properties",1410340822830
started,bundle,com.genuitec.pulse2.client.services,4.0.0.v201105241300,"com.genuitec.pulse2.client.services",1410340822830
started,bundle,com.genuitec.pulse2.client.services.ui,3.2.0.v201102081600,"com.genuitec.pulse2.client.services.ui",1410340822831
started,bundle,com.genuitec.pulse2.client.targetcfg.jdt,3.2.0.v201102081600,"com.genuitec.pulse2.client.targetcfg.jdt",1410340822831
started,bundle,com.genuitec.pulse2.client.targetcfg.ui,4.0.0.v201106171500,"com.genuitec.pulse2.client.targetcfg.ui",1410340822831
started,bundle,com.genuitec.pulse2.client.updatesite,4.0.0.v201105241300,"com.genuitec.pulse2.client.updatesite",1410340822831
started,bundle,com.genuitec.pulse2.common,4.0.0.v201106221500,"com.genuitec.pulse2.common",1410340822831
started,bundle,com.genuitec.pulse2.common.http,4.0.0.v201105241300,"com.genuitec.pulse2.common.http",1410340822831
started,bundle,com.genuitec.pulse2.common.http.httpclient,4.0.0.v201105241300,"com.genuitec.pulse2.common.http.httpclient",1410340822831
started,bundle,com.genuitec.pulse2.common.http.httpclient.ws,3.2.0.v201102081600,"com.genuitec.pulse2.common.http.httpclient.ws",1410340822831
started,bundle,com.genuitec.pulse2.common.ui,4.0.0.v201105241300,"com.genuitec.pulse2.common.ui",1410340822831
started,bundle,com.genuitec.pulse2.model,3.2.0.v201103141500,"com.genuitec.pulse2.model",1410340822831
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1410340822832
started,bundle,com.qnx.flexide.multiplatform.qnx,1.0.1.201104252316,"com.qnx.flexide.multiplatform.qnx",1410340822832
started,bundle,com.qnx.tools.bbt.core,1.0.1.201104252316,"com.qnx.tools.bbt.core",1410340822832
started,bundle,org.eclipse.atf.mozilla.ide.debug.ui,0.2.2.me201103110135,"org.eclipse.atf.mozilla.ide.debug.ui",1410340822832
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1410340822832
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1410340822832
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1410340822833
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1410340822833
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1410340822833
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1410340822833
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1410340822834
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1410340822834
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1410340822834
