what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.pulse.client.targetcfg.collab.ui,4.0.0.v201105241300,"com.genuitec.pulse.client.targetcfg.collab.ui",1410334486307
started,bundle,com.genuitec.pulse2.client.common,4.0.0.v201106171500,"com.genuitec.pulse2.client.common",1410334486308
started,bundle,com.genuitec.pulse2.client.common.exec,4.0.0.v201106201300,"com.genuitec.pulse2.client.common.exec",1410334486308
started,bundle,com.genuitec.pulse2.client.common.provisioning,4.0.0.v201105241300,"com.genuitec.pulse2.client.common.provisioning",1410334486308
started,bundle,com.genuitec.pulse2.client.installer.common,4.0.0.v201106171500,"com.genuitec.pulse2.client.installer.common",1410334486309
started,bundle,com.genuitec.pulse2.client.installer.ui,4.0.0.v201105241300,"com.genuitec.pulse2.client.installer.ui",1410334486309
started,bundle,com.genuitec.pulse2.client.launcher.ui,4.0.0.v201105241300,"com.genuitec.pulse2.client.launcher.ui",1410334486310
started,bundle,com.genuitec.pulse2.client.properties,3.2.0.v201103141500,"com.genuitec.pulse2.client.properties",1410334486310
started,bundle,com.genuitec.pulse2.client.services,4.0.0.v201105241300,"com.genuitec.pulse2.client.services",1410334486311
started,bundle,com.genuitec.pulse2.client.services.ui,3.2.0.v201102081600,"com.genuitec.pulse2.client.services.ui",1410334486311
started,bundle,com.genuitec.pulse2.client.targetcfg.jdt,3.2.0.v201102081600,"com.genuitec.pulse2.client.targetcfg.jdt",1410334486312
started,bundle,com.genuitec.pulse2.client.targetcfg.ui,4.0.0.v201106171500,"com.genuitec.pulse2.client.targetcfg.ui",1410334486312
started,bundle,com.genuitec.pulse2.client.updatesite,4.0.0.v201105241300,"com.genuitec.pulse2.client.updatesite",1410334486312
started,bundle,com.genuitec.pulse2.common,4.0.0.v201106221500,"com.genuitec.pulse2.common",1410334486313
started,bundle,com.genuitec.pulse2.common.http,4.0.0.v201105241300,"com.genuitec.pulse2.common.http",1410334486314
started,bundle,com.genuitec.pulse2.common.http.httpclient,4.0.0.v201105241300,"com.genuitec.pulse2.common.http.httpclient",1410334486314
started,bundle,com.genuitec.pulse2.common.http.httpclient.ws,3.2.0.v201102081600,"com.genuitec.pulse2.common.http.httpclient.ws",1410334486314
started,bundle,com.genuitec.pulse2.common.ui,4.0.0.v201105241300,"com.genuitec.pulse2.common.ui",1410334486315
started,bundle,com.genuitec.pulse2.model,3.2.0.v201103141500,"com.genuitec.pulse2.model",1410334486316
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1410334486316
started,bundle,com.qnx.flexide.multiplatform.qnx,1.0.1.201104252316,"com.qnx.flexide.multiplatform.qnx",1410334486317
started,bundle,com.qnx.tools.bbt.core,1.0.1.201104252316,"com.qnx.tools.bbt.core",1410334486318
started,bundle,org.eclipse.atf.mozilla.ide.debug.ui,0.2.2.me201103110135,"org.eclipse.atf.mozilla.ide.debug.ui",1410334486319
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1410334486320
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1410334486321
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1410334486322
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1410334486323
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1410334486324
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1410334486325
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1410334486326
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1410334486327
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1410334486328
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1410334486329
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1410334486330
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1410334486331
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1410334486332
started,bundle,org.eclipse.dltk.core,1.0.0.me201101171005,"org.eclipse.dltk.core",1410334486333
started,bundle,org.eclipse.dltk.launching,2.0.0.me201106292137,"org.eclipse.dltk.launching",1410334486333
started,bundle,org.eclipse.dltk.ui,1.0.0.me201012090051,"org.eclipse.dltk.ui",1410334486335
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1410334486336
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1410334486337
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1410334486338
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1410334486339
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1410334486340
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1410334486340
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1410334486341
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1410334486342
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1410334486342
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1410334486343
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1410334486344
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1410334486345
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1410334486346
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1410334486347
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1410334486348
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1410334486349
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1410334486350
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1410334486351
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1410334486352
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1410334486353
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1410334486353
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1410334486354
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1410334486355
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1410334486356
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1410334486357
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.200.v20100503a,"org.eclipse.equinox.p2.touchpoint.natives",1410334486358
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1410334486359
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1410334486360
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1410334486361
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1410334486362
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1410334486363
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1410334486363
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1410334486365
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1410334486365
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1410334486366
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1410334486367
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1410334486368
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1410334486369
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1410334486370
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1410334486371
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1410334486372
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1410334486374
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1410334486375
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1410334486376
started,bundle,org.eclipse.maynstall.client.core,0.5.0.v201102081600,"org.eclipse.maynstall.client.core",1410334486377
started,bundle,org.eclipse.maynstall.common.util,0.5.0.v201102081600,"org.eclipse.maynstall.common.util",1410334486377
started,bundle,org.eclipse.maynstall.model.core,0.2.0.v201102081600,"org.eclipse.maynstall.model.core",1410334486378
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1410334486378
